# hA2018/hA2025 INTRANUKE pi+ FSI TGraph2D points (archival), extracted
# from hA_TGraphs_2D/TGraphs_{2018,2025}.root by scripts/extract_ha_tgraphs.py.
# model=2018: value = fate fraction(A, KE[MeV]).
# model=2025: value = log(cross section).
# The runtime table is ha_pion_fsi_weights_A40.csv.
model,graph,fate,A,KE,value
2018,TfracPipA_CEx,cex,7.0,205.0,0.117
2018,TfracPipA_CEx,cex,7.0,245.0,0.127
2018,TfracPipA_CEx,cex,7.0,0.0,0.107042
2018,TfracPipA_CEx,cex,7.0,50.0,0.140973
2018,TfracPipA_CEx,cex,7.0,100.0,0.344354
2018,TfracPipA_CEx,cex,7.0,150.0,0.396092
2018,TfracPipA_CEx,cex,7.0,200.0,0.457315
2018,TfracPipA_CEx,cex,7.0,250.0,0.498071
2018,TfracPipA_CEx,cex,7.0,300.0,0.515428
2018,TfracPipA_CEx,cex,7.0,350.0,0.52557
2018,TfracPipA_CEx,cex,7.0,400.0,0.26353
2018,TfracPipA_CEx,cex,7.0,450.0,0.0
2018,TfracPipA_CEx,cex,7.0,500.0,0.0
2018,TfracPipA_CEx,cex,7.0,550.0,0.0
2018,TfracPipA_CEx,cex,7.0,600.0,0.0
2018,TfracPipA_CEx,cex,7.0,650.0,0.0
2018,TfracPipA_CEx,cex,7.0,700.0,0.0
2018,TfracPipA_CEx,cex,7.0,750.0,0.0
2018,TfracPipA_CEx,cex,7.0,800.0,0.0
2018,TfracPipA_CEx,cex,7.0,850.0,0.0
2018,TfracPipA_CEx,cex,7.0,900.0,0.0
2018,TfracPipA_CEx,cex,7.0,950.0,0.0
2018,TfracPipA_CEx,cex,7.0,1000.0,0.0
2018,TfracPipA_CEx,cex,9.0,0.0,0.0995144
2018,TfracPipA_CEx,cex,9.0,50.0,0.130388
2018,TfracPipA_CEx,cex,9.0,100.0,0.338005
2018,TfracPipA_CEx,cex,9.0,150.0,0.389328
2018,TfracPipA_CEx,cex,9.0,200.0,0.450501
2018,TfracPipA_CEx,cex,9.0,250.0,0.491493
2018,TfracPipA_CEx,cex,9.0,300.0,0.508866
2018,TfracPipA_CEx,cex,9.0,350.0,0.519155
2018,TfracPipA_CEx,cex,9.0,400.0,0.260355
2018,TfracPipA_CEx,cex,9.0,450.0,0.0
2018,TfracPipA_CEx,cex,9.0,500.0,0.0
2018,TfracPipA_CEx,cex,9.0,550.0,0.0
2018,TfracPipA_CEx,cex,9.0,600.0,0.0
2018,TfracPipA_CEx,cex,9.0,650.0,0.0
2018,TfracPipA_CEx,cex,9.0,700.0,0.0
2018,TfracPipA_CEx,cex,9.0,750.0,0.0
2018,TfracPipA_CEx,cex,9.0,800.0,0.0
2018,TfracPipA_CEx,cex,9.0,850.0,0.0
2018,TfracPipA_CEx,cex,9.0,900.0,0.0
2018,TfracPipA_CEx,cex,9.0,950.0,0.0
2018,TfracPipA_CEx,cex,9.0,1000.0,0.0
2018,TfracPipA_CEx,cex,9.0,100.0,0.264797
2018,TfracPipA_CEx,cex,12.0,165.0,0.069
2018,TfracPipA_CEx,cex,12.0,205.0,0.072
2018,TfracPipA_CEx,cex,12.0,245.0,0.085
2018,TfracPipA_CEx,cex,12.0,315.0,0.101
2018,TfracPipA_CEx,cex,12.0,0.0,0.0909091
2018,TfracPipA_CEx,cex,12.0,50.0,0.118421
2018,TfracPipA_CEx,cex,12.0,100.0,0.330679
2018,TfracPipA_CEx,cex,12.0,150.0,0.381499
2018,TfracPipA_CEx,cex,12.0,200.0,0.442577
2018,TfracPipA_CEx,cex,12.0,250.0,0.483815
2018,TfracPipA_CEx,cex,12.0,300.0,0.501199
2018,TfracPipA_CEx,cex,12.0,350.0,0.51165
2018,TfracPipA_CEx,cex,12.0,400.0,0.256639
2018,TfracPipA_CEx,cex,12.0,450.0,0.0
2018,TfracPipA_CEx,cex,12.0,500.0,0.0
2018,TfracPipA_CEx,cex,12.0,550.0,0.0
2018,TfracPipA_CEx,cex,12.0,600.0,0.0
2018,TfracPipA_CEx,cex,12.0,650.0,0.0
2018,TfracPipA_CEx,cex,12.0,700.0,0.0
2018,TfracPipA_CEx,cex,12.0,750.0,0.0
2018,TfracPipA_CEx,cex,12.0,800.0,0.0
2018,TfracPipA_CEx,cex,12.0,850.0,0.0
2018,TfracPipA_CEx,cex,12.0,900.0,0.0
2018,TfracPipA_CEx,cex,12.0,950.0,0.0
2018,TfracPipA_CEx,cex,12.0,1000.0,0.0
2018,TfracPipA_CEx,cex,12.0,85.0,0.07125
2018,TfracPipA_CEx,cex,12.0,125.0,0.063
2018,TfracPipA_CEx,cex,16.0,0.0,0.0824374
2018,TfracPipA_CEx,cex,16.0,50.0,0.106775
