# MINERvA LE/ME triple-differential QE-like cross section, extrapolated to the
# BNB flux peak.  d^3 sigma / dp_z dp_T dSumT_p on hydrocarbon, LE and ME NuMI
# beams; D. Ruterbories et al., arXiv:2606.00745 (see also PRL 129 021803).
#
# Built by scripts/build_minerva_3dqelike_table.py from the standalone
# analysis in MvA_LE_ME/ (results/weights_ptpzsumtp.csv + weights_meta.json);
# see MvA_LE_ME/README.md for the full derivation.
#
# Binning (5 x 9 x 10 = 450 bins, dense, ordered by
# (ipz, ipt, itp)):
#   p_z(mu)  [GeV/c] : [1.5, 2, 2.5, 3, 3.5, 4.5]
#   p_T(mu)  [GeV/c] : [0, 0.15, 0.25, 0.325, 0.4, 0.475, 0.55, 0.7, 0.85, 1]
#   SumT_p   [GeV]   : [0, 0.02, 0.04, 0.08, 0.12, 0.16, 0.24, 0.32, 0.4, 0.6, 0.799]
#
# w_LE = sigma_data_LE / sigma_AR23_LE  and  w_ME likewise, per bin, both
# bin-integrated cm^2 / CH-nucleon.  sigma_AR23 is GENIE v3_06_00 with the
# AR23_20i_00_000 tune (gevgen, numu on C12 + H1, 8M + 0.5M CC events per
# flux), normalized per CH nucleon as
#     sigma_i = [ <sigma_C> f_C,i + <sigma_H> f_H,i ] / 13.
# Unmeasured / no-MC bins are flagged `excluded` and carry weight 1.
#
# Linear per-bin extrapolation in effective neutrino energy (each beam a
# point at its flux peak) to the BNB peak:
#   E_LE = 3.25 GeV, E_ME = 5.85 GeV, E_BNB = 0.7 GeV
#   w_BNB_raw = 1.980769 * w_LE + -0.980769 * w_ME
#   weight    = clip(w_BNB_raw, 0.0, 10.0)
# The extrapolation reaches far outside the [3.25, 5.85] GeV lever arm: it
# is a linear trend estimate, not a measurement.  82 of 450 bins
# extrapolate below 0.0 (clipped to 0.0, i.e. the event is killed)
# and 4 above 10.0.  w_LE / w_ME / w_BNB_raw are stored UNCLIPPED.
#
# The measurement is on CH; applying the weights to argon assumes the
# data/model discrepancy transfers.  How the calculator maps BNB events into
# this binning (the E_nu-relative p_z scaling) is documented in the top-level
# README under `minerva_3dqelike`.
#
# w_BNB_err: data total uncertainty (covariance diagonal) (+) MC stat,
# propagated linearly through the extrapolation, LE/ME treated uncorrelated.
ipz,ipt,itp,pz_lo,pz_hi,pt_lo,pt_hi,tp_lo,tp_hi,w_LE,w_ME,w_BNB_raw,weight,w_BNB_err,excluded
0,2,1,1.5,2.0,0.25,0.325,0.02,0.04,1.608120634203235,2.803038194398731,0.4361822578576522,0.4361822578576522,1.1906867184128764,False
0,2,2,1.5,2.0,0.25,0.325,0.04,0.08,0.8467445323540798,1.5726247768815755,0.13482352329826663,0.13482352329826663,0.6125827023709467,False
0,2,3,1.5,2.0,0.25,0.325,0.08,0.12,0.7597190866947612,1.2835057347231233,0.2460052588207906,0.2460052588207906,0.5737653296500588,False
0,2,4,1.5,2.0,0.25,0.325,0.12,0.16,0.9048315182033961,1.1994027498511928,0.6159251179334417,0.6159251179334417,0.7834375527584061,False
0,2,5,1.5,2.0,0.25,0.325,0.16,0.24,1.2509355172885999,1.5986889098634158,0.9098696899556074,0.9098696899556074,1.1380268161214229,False
0,2,6,1.5,2.0,0.25,0.325,0.24,0.32,0.9231311019560677,0.8669839319769975,0.9781985186663096,0.9781985186663096,0.8783951556141091,False
0,2,7,1.5,2.0,0.25,0.325,0.32,0.4,0.752359951158173,0.8385565791163365,0.6678209506607434,0.6678209506607434,0.8764814864287249,False
0,2,8,1.5,2.0,0.25,0.325,0.4,0.6,0.3541868161519541,0.5534179117042687,0.1587870878217993,0.1587870878217993,0.8434470975656376,False
0,2,9,1.5,2.0,0.25,0.325,0.6,0.799,0.053486441200494624,0.13531469385207,-0.026768191207781247,0.0,0.5493586648965303,False
0,3,0,1.5,2.0,0.325,0.4,0.0,0.02,4.572930716804565,6.471640462255881,2.710734620304237,2.710734620304237,3.2512160150819707,False
0,3,1,1.5,2.0,0.325,0.4,0.02,0.04,1.7137664716773544,3.751601421853733,-0.2848793448417859,0.0,1.50993445401828,False
0,3,2,1.5,2.0,0.325,0.4,0.04,0.08,1.3536925521994343,2.216647988041348,0.507332413200634,0.507332413200634,0.6560257955929601,False
0,3,3,1.5,2.0,0.325,0.4,0.08,0.12,0.730511635639723,1.319406245625254,0.1529419220000674,0.1529419220000674,0.5695579608510722,False
0,3,4,1.5,2.0,0.325,0.4,0.12,0.16,0.688100679019939,0.8916850097255895,0.48843143159708946,0.48843143159708946,0.6410626932852956,False
0,3,5,1.5,2.0,0.325,0.4,0.16,0.24,0.8590056914102239,0.5450905314619353,1.166884021359507,1.166884021359507,0.83194504228949,False
0,3,6,1.5,2.0,0.325,0.4,0.24,0.32,0.8338081050670632,0.49949965370955896,1.1616875477446154,1.1616875477446154,0.7366029814340284,False
0,3,7,1.5,2.0,0.325,0.4,0.32,0.4,0.7525388057130373,0.6281760480882046,0.8745099718450847,0.8745099718450847,0.9265416451053562,False
0,3,8,1.5,2.0,0.325,0.4,0.4,0.6,0.12398334152361495,0.8445581226734784,-0.5827342322964435,0.0,0.6376056902295708,False
0,3,9,1.5,2.0,0.325,0.4,0.6,0.799,0.03451610197843773,0.7014834095972999,-0.6196249112631388,0.0,0.9863789718959824,False
0,4,0,1.5,2.0,0.4,0.475,0.0,0.02,2.4319524462757527,3.7139447874876725,1.1746138039332923,1.1746138039332923,2.2315363056480164,False
0,4,1,1.5,2.0,0.4,0.475,0.02,0.04,2.8131606615663745,3.467094003211664,2.1718029611065712,2.1718029611065712,2.197506314429463,False
0,4,2,1.5,2.0,0.4,0.475,0.04,0.08,1.6595329411133812,1.56123158551549,1.7559438860266976,1.7559438860266976,1.033019683753945,False
0,4,3,1.5,2.0,0.4,0.475,0.08,0.12,0.593016401662526,1.0304332206276103,0.16401144460061623,0.16401144460061623,0.4955616566418001,False
0,4,4,1.5,2.0,0.4,0.475,0.12,0.16,0.8089819982772569,1.2965876441878708,0.3307533840187704,0.3307533840187704,0.6136044530560953,False
0,4,5,1.5,2.0,0.4,0.475,0.16,0.24,1.368553876944054,1.1132615024408106,1.6189367827068504,1.6189367827068504,0.7992645724653217,False
0,4,6,1.5,2.0,0.4,0.475,0.24,0.32,0.7490738423752693,0.9021850960212062,0.5989070359148311,0.5989070359148311,0.8193317026276234,False
0,4,7,1.5,2.0,0.4,0.475,0.32,0.4,0.543384466041422,0.6193756496424908,0.4688546513557583,0.4688546513557583,0.710305798228227,False
0,4,8,1.5,2.0,0.4,0.475,0.4,0.6,0.35732224321091605,0.46314696065416044,0.25353261648773395,0.25353261648773395,0.8477141871877383,False
0,4,9,1.5,2.0,0.4,0.475,0.6,0.799,0.032444113143330386,0.0455591833128068,0.019581255861728514,0.019581255861728514,0.28923983839619377,False
0,5,0,1.5,2.0,0.475,0.55,0.0,0.02,1.733289811540187,3.635561517165015,-0.13239974589954828,0.0,2.5150157430089584,False
