# hA2018 -> hA2025 pi+ FSI fate-fraction weights at A = 40,
# tabulated from hA_TGraphs_2D/*.root with ROOT TGraph2D::Interpolate
# via the reference hA2025Reweighter (scripts/extract_ha_tgraphs.py).
# frac2018/frac2025: renormalized fate fractions; weight = f25/f18,
# set to 1 where f18 < 1e-06 (unmeasured / roundoff region).
# KE in MeV, clamped by the calculator to [1, 999].
KE,fate,frac2018,frac2025,weight
1.0,cex,0.05123129714287369,0.023829924684682237,0.4651438869139974
1.0,abs,0.5439800610496436,0.9285102259459533,1.7068828297756626
1.0,inel,0.4047886418074828,0.023829924684682237,0.058870042840816005
1.0,pipro,0.0,0.023829924684682237,1.0
1.5,cex,0.05111546353333802,0.02335013787060801,0.45681162326501873
1.5,abs,0.5441201036308164,0.9299495863881759,1.709088820984169
1.5,inel,0.4047644328358456,0.02335013787060801,0.05768821560484733
1.5,pipro,0.0,0.02335013787060801,1.0
2.0,cex,0.05099880135143999,0.02287929689870924,0.44862420865629277
2.0,abs,0.5442611479541674,0.9313621093038723,1.7112412172075582
2.0,inel,0.4047400506943926,0.02287929689870924,0.056528373852442707
2.0,pipro,0.0,0.02287929689870924,1.0
2.5,cex,0.05088130167494536,0.022417263541935382,0.44057960004930347
2.5,abs,0.5444032048066582,0.9327482093741939,1.713340775988735
2.5,inel,0.40471549351839653,0.022417263541935382,0.055390178782262
2.5,pipro,0.0,0.022417263541935382,1.0
3.0,cex,0.05076295545305653,0.021963900555442593,0.4326757644312868
3.0,abs,0.5445462851306833,0.9341082983336723,1.7153882486031462
3.0,inel,0.4046907594162603,0.021963900555442593,0.0542732939766751
3.0,pipro,0.0,0.021963900555442593,1.0
3.5,cex,0.05064375350408853,0.02151907172099709,0.42491067964107027
3.5,abs,0.5446904000268797,0.9354427848370087,1.7173843798070352
3.5,inel,0.40466584646903164,0.02151907172099709,0.0531773855114405
3.5,pipro,0.0,0.02151907172099709,1.0
4.0,cex,0.05052368651309442,0.021082641888697545,0.41728233515251256
4.0,abs,0.5448355607569986,0.9367520743339074,1.7193299076007027
4.0,inel,0.4046407527299071,0.021082641888697545,0.05210212205879806
4.0,pipro,0.0,0.021082641888697545,1.0
4.5,cex,0.05040274502943881,0.020654477016093752,0.40978873281663647
4.5,abs,0.5449817787468366,0.9380365689517188,1.721225563006337
4.5,inel,0.4046154762237245,0.020654477016093752,0.051047174984165083
4.5,pipro,0.0,0.020654477016093752,1.0
5.0,cex,0.05028091946431812,0.03955148831704583,0.7866102835512697
5.0,abs,0.5451290655892369,0.8901663322142963,1.632946009312683
5.0,inel,0.4045900149464449,0.05110610697997804,0.12631578905065882
5.0,pipro,0.0,0.019176072488679852,1.0
5.5,cex,0.05015820008822634,0.04079779867027463,0.8133824299618582
5.5,abs,0.5452774330471509,0.8856781846261251,1.624270749069381
5.5,inel,0.40456436686462266,0.05485770512246916,0.13559697693501
5.5,pipro,0.0,0.018666311581131096,1.0
6.0,cex,0.050034577028364724,0.04206862184324567,0.8407909957827137
6.0,abs,0.545426893056771,0.8809036009518196,1.6150718128600425
6.0,inel,0.40453852991486444,0.05886404821056537,0.14550912671520652
6.0,pipro,0.0,0.018163728994369258,1.0
6.5,cex,0.0499100402659941,0.043362923305522945,0.868821645392821
6.5,abs,0.5455774577307303,0.8758294333821022,1.6053255518016063
6.5,inel,0.4045125020032756,0.06313952782597278,0.1560879515794582
6.5,pipro,0.0,0.017668115486402052,1.0
7.0,cex,0.04978457963372824,0.04467948168377352,0.8974562407172341
7.0,abs,0.5457291393613772,0.870442311007638,1.5950079411670164
7.0,inel,0.40448628100489453,0.06769893548466199,0.1673701647345681
7.0,pipro,0.0,0.017179271823926583,1.0
7.5,cex,0.049658184812766806,0.046016875297174055,0.9266725207672796
7.5,abs,0.5458819504241187,0.8647287045347551,1.5840947000773904
7.5,inel,0.4044598647631146,0.07255741049849722,0.17939335103371232
7.5,pipro,0.0,0.01669700966957355,1.0
8.0,cex,0.0495308453300661,0.04737346882483849,0.956443777794399
8.0,abs,0.5460359035808415,0.8586750020551324,1.5725614312612761
8.0,inel,0.40443325108909234,0.0777303765962995,0.19219581077218678
8.0,pipro,0.0,0.016221152523729594,1.0
8.5,cex,0.049402550555446435,0.048747400322430905,0.9867385342325549
8.5,abs,0.5461910116834099,0.8522675966266093,1.5603837822227133
8.5,inel,0.4044064377611436,0.08323346633537161,0.20581637324115046
8.5,pipro,0.0,0.01575153671558805,1.0
9.0,cex,0.04927328969863381,0.05013656884025729,1.01752022539805
9.0,abs,0.5463472877772415,0.8454929863320689,1.5475376289902918
9.0,inel,0.4043794225241246,0.08908243239163098,0.22029417776894042
9.0,pipro,0.0,0.015288012436042693,1.0
9.5,cex,0.049143051806234773,0.05153862293134521,1.0487468937532796
9.5,abs,0.5465047451049652,0.838337887355663,1.5339992833816045
9.5,inel,0.4043522030888001,0.09529304491024031,0.23566842020967776
9.5,pipro,0.0,0.014830444802751624,1.0
10.0,cex,0.0490118257586423,0.052702787460767606,1.07530757414142
10.0,abs,0.5466633971101615,0.8268957361230663,1.512623198286739
10.0,inel,0.4043247771311962,0.10140349310885892,0.25079712855676733
10.0,pipro,0.0,0.018997983307307172,1.0
10.5,cex,0.048879600266871014,0.05412653533299878,1.1073440665938499
10.5,abs,0.5468232574411891,0.8191402731809438,1.4979982325807393
10.5,inel,0.40429714229193986,0.1083728499841176,0.26805247588384484
10.5,pipro,0.0,0.018360341501939745,1.0
11.0,cex,0.04874636386931976,0.05528758254112068,1.1341888533334865
11.0,abs,0.5469843399550989,0.8115185164538538,1.483622943429185
11.0,inel,0.4042692961755813,0.11544846654064661,0.2855731751898994
11.0,pipro,0.0,0.01774543446437896,1.0
11.5,cex,0.04861210492845977,0.05616518968123916,1.1553745669704063
11.5,abs,0.5471466587216377,0.8040901513892121,1.4696062537746304
11.5,inel,0.40424123634990256,0.122590924864341,0.3032617997393738
11.5,pipro,0.0,0.017153734065207624,1.0
12.0,cex,0.04847681162744614,0.057025731750851176,1.176350709471266
12.0,abs,0.5473102280273452,0.7962969638553085,1.4549279788272533
12.0,inel,0.4042129603452087,0.1301045491363369,0.32187129533210446
12.0,pipro,0.0,0.01657275525750338,1.0
12.5,cex,0.048340471966650776,0.05786653817669324,1.1970619198052994
12.5,abs,0.5474750623797456,0.7881309359408022,1.4395741287557133
12.5,inel,0.4041844656536036,0.13800017610843035,0.3414286986148053
12.5,pipro,0.0,0.01600234977407421,1.0
13.0,cex,0.048203073760114526,0.05868482822939581,1.2174499186803804
13.0,abs,0.5476411765116369,0.779584850408339,1.4235322029182251
13.0,inel,0.4041557497282486,0.1462879318818193,0.36195929905780694
13.0,pipro,0.0,0.01544238948044577,1.0
13.5,cex,0.048064604631916426,0.05947772040665326,1.2374536493567276
13.5,abs,0.5478085853854806,0.7706524231760931,1.4067914299550495
13.5,inel,0.40412680998260303,0.1549770897190762,0.3834862867072533
13.5,pipro,0.0,0.014892766698177592,1.0
14.0,cex,0.047925052012457635,0.060102594428444935,1.2540955492927137
14.0,abs,0.5479773041978943,0.761881713244736,1.3903526795876078
14.0,inel,0.4040976437896482,0.1636955709981345,0.4050891498970129
14.0,pipro,0.0,0.014320121328684578,1.0
14.5,cex,0.04778440313465787,0.06049944684098173,1.2660919227240839
14.5,abs,0.5481473483842499,0.7535475665719713,1.3747171609844884
14.5,inel,0.40406824848109224,0.1722366766809631,0.42625639932958664
14.5,pipro,0.0,0.013716309906083846,1.0
15.0,cex,0.04764264503006176,0.060864537630480164,1.2775222196852336
15.0,abs,0.548318733623382,0.7448838059606615,1.358486880501683
15.0,inel,0.4040386213465562,0.18112111543145407,0.4482767385648041
15.0,pipro,0.0,0.013130540977404272,1.0
15.5,cex,0.04749976452485287,0.06119602504163282,1.2883437560961757
15.5,abs,0.5484914758424059,0.7358890772732908,1.3416600069181905
15.5,inel,0.4040087596327413,0.1903524602194351,0.47115924019190186
15.5,pipro,0.0,0.012562437465641224,1.0
16.0,cex,0.04735574823577242,0.061492084341772044,1.29851362575074
16.0,abs,0.548665591221652,0.7265630286647097,1.3242365482532874
16.0,inel,0.4039786605425755,0.19993324663592815,0.49491041523678975
16.0,pipro,0.0,0.012011640357590187,1.0
16.5,cex,0.04721058256594057,0.06175092042617627,1.3079889522635466
16.5,abs,0.5488410961997188,0.7169063937672565,1.3062185006393547
16.5,inel,0.40394832123434077,0.2098648779913702,0.5195339773911877
16.5,pipro,0.0,0.011477807815197003,1.0
17.0,cex,0.04706425370057706,0.06197078125293662,1.3167271629801023
17.0,abs,0.5490180074786449,0.7069210717336128,1.287609991118752
17.0,inel,0.40391773882077797,0.220147532809109,0.5450306130446786
17.0,pipro,0.0,0.010960614204341423,1.0
17.5,cex,0.04691674760261862,0.062149972009758934,1.3246862833750668
17.5,abs,0.5491963420292096,0.6966102027270645,1.2684174118006317
17.5,inel,0.4038869103681717,0.2307800762213808,0.5713977608509478
17.5,pipro,0.0,0.010459749041795703,1.0
18.0,cex,0.04676805000823018,0.0622731465025943,1.3315318148102295
18.0,abs,0.5493761170963584,0.6871229606911613,1.250733221390916
18.0,inel,0.40385583289541144,0.24061233134434243,0.5957876839843861
18.0,pipro,0.0,0.009991561461901975,1.0
18.5,cex,0.046618146422206894,0.06233481606754658,1.3371363053133518
18.5,abs,0.549557350204762,0.680297132188947,1.2379001608030027
18.5,inel,0.403824503373031,0.2477880626908711,0.6136033366503717
18.5,pipro,0.0,0.009579989052635237,1.0
19.0,cex,0.0464670221132638,0.062377906802534966,1.3424124027248452
19.0,abs,0.5497400591645121,0.6733379026638069,1.2248296107202687
19.0,inel,0.40379291872222417,0.25510156437153875,0.6317633433958938
19.0,pipro,0.0,0.009182626162119338,1.0
19.5,cex,0.04631466210920989,0.06240208444621403,1.347350527983342
19.5,abs,0.5499242620769547,0.6662476166886957,1.2115261366581842
19.5,inel,0.4037610758138354,0.26255122466664566,0.6502638327318648
19.5,pipro,0.0,0.00879907419844454,1.0
20.0,cex,0.04616105119200347,0.062407035020080236,1.3519413750025493
20.0,abs,0.5501099773406691,0.6590288517504046,1.1979947263204878
20.0,inel,0.40372897146732745,0.2701351684446542,0.6691002814657194
20.0,pipro,0.0,0.00842894478486106,1.0
20.5,cex,0.046006173892685,0.06239246641966882,1.3561759464111673
20.5,abs,0.5502972236575937,0.6516844214793306,1.1842407947251832
20.5,inel,0.40369660244972133,0.27785125268123845,0.6882675033556757
20.5,pipro,0.0,0.008071859419762219,1.0
21.0,cex,0.04585001448618429,0.0623581099818892,1.3600455895314754
21.0,abs,0.5504860200393041,0.6442173779777524,1.1702701876639046
21.0,inel,0.40366396547451167,0.285697062896158,0.7077596400271146
21.0,pipro,0.0,0.007727449144200399,1.0
21.5,cex,0.045692556985998084,0.06230372201817984,1.3635420323986691
21.5,abs,0.5506763858134476,0.6366310131907044,1.156089183396318
21.5,inel,0.4036310572005543,0.293669910573587,0.727570154314636
21.5,pipro,0.0,0.007395354217528851,1.0
22.0,cex,0.04553378513873452,0.06222315910798005,1.3665272702103624
22.0,abs,0.5508683406303397,0.6288689651690349,1.1415957657857805
22.0,inel,0.4035978742309258,0.3017380937945317,0.7476206220597852
22.0,pipro,0.0,0.007169781928453315,1.0
22.5,cex,0.045373682418520064,0.06212255432682605,1.3691318626911717
22.5,abs,0.5510619044697254,0.6210001676420221,1.1269154383654896
22.5,inel,0.40356441311175456,0.30992743145810076,0.7679751271137875
22.5,pipro,0.0,0.006949846573051002,1.0
23.0,cex,0.04521223202126562,0.06200179845668694,1.3713500901155318
23.0,abs,0.5512570976477117,0.6130289816895623,1.1120563967438053
23.0,inel,0.40353067033102274,0.31823476846800547,0.7886259753365273
23.0,pipro,0.0,0.006734451385745282,1.0
23.5,cex,0.04504941685878692,0.06186074573928746,1.3731752828942885
23.5,abs,0.5514539408238761,0.6049593282847472,1.097026031550221
23.5,inel,0.40349664231733706,0.32665635924937747,0.8095640086949542
23.5,pipro,0.0,0.006523566726587828,1.0
24.0,cex,0.04488521955277535,0.061699282062630256,1.3746013203764145
24.0,abs,0.5516524550085559,0.5967953684987438,1.081832162769017
24.0,inel,0.4034623254386688,0.3351881863229976,0.8307793942310738
24.0,pipro,0.0,0.0063171631156282325,1.0
24.5,cex,0.044719622428614485,0.06151732608797238,1.3756226628740418
24.5,abs,0.5518526615703236,0.5885414983028476,1.0664830294160839
24.5,inel,0.4034277160010619,0.3438259645164583,0.8522616341896383
24.5,pipro,0.0,0.006115211092721793,1.0
25.0,cex,0.04455260750903778,0.06131483026926333,1.376234382170005
25.0,abs,0.5520545822436554,0.5802023421904453,1.0509872770775528
25.0,inel,0.4033928102473069,0.3525651464619361,0.8739995793325864
25.0,pipro,0.0,0.00591768107835522,1.0
25.5,cex,0.04438415650762286,0.0614022477318259,1.3834271632779644
25.5,abs,0.5522582391367961,0.5787609071219998,1.0479896289580553
25.5,inel,0.4033576043555811,0.3539343767826275,0.8774704454824548
25.5,pipro,0.0,0.005902468363546902,1.0
26.0,cex,0.04421425082211695,0.061489232588723776,1.3907107198560853
26.0,abs,0.5524636547398284,0.5773178212396757,1.044987876191696
26.0,inel,0.4033220944380546,0.35530570476754303,0.8809477825969033
26.0,pipro,0.0,0.005887241404057517,1.0
26.5,cex,0.0440428715275889,0.06157578193605828,1.3980873589835439
26.5,abs,0.5526708519329531,0.5758731081106796,1.0419820515168787
26.5,inel,0.40328627653945803,0.3566791095090298,0.8844315570805987
26.5,pipro,0.0,0.0058720004442323285,1.0
27.0,cex,0.04386999936940209,0.06166189288360652,1.4055594659208885
27.0,abs,0.5528798539949836,0.5744267914209022,1.0389721876646896
27.0,inel,0.40325014663561426,0.3580545699659486,0.88792173531308
27.0,pipro,0.0,0.005856745729542763,1.0
27.5,cex,0.043695614756003094,0.06174756255507448,1.4131295073858945
27.5,abs,0.5530906846120655,0.5729788949734926,1.0359583173514786
27.5,inel,0.4032137006319314,0.35943206496486163,0.8914182836583837
27.5,pipro,0.0,0.005841477506571343,1.0
28.0,cex,0.04351969775151992,0.061832788088349876,1.4208000349954264
28.0,abs,0.5533033678866243,0.5715294426874116,1.032940473271296
28.0,inel,0.40317693436185575,0.3608115732012421,0.8949211684749051
28.0,pipro,0.0,0.005826196022996462,1.0
28.5,cex,0.0433422280681646,0.06191756663575366,1.428573688883172
28.5,abs,0.5535179283465516,0.5700784585959717,1.0299186880881874
28.5,inel,0.40313984358528393,0.36219307324069777,0.898430356125482
28.5,pipro,0.0,0.0058109015275769815,1.0
29.0,cex,0.04316318505843347,0.062001895364291175,1.4364532015038793
29.0,abs,0.5537343909546342,0.5686259668453545,1.0268929944283347
29.0,inel,0.40310242398693247,0.36357654352021773,0.9019458129877282
29.0,pipro,0.0,0.005795594270136673,1.0
29.5,cex,0.04298254770709925,0.062085771455901946,1.4444414016353782
29.5,abs,0.5539527811182358,0.5671719916931183,1.0238634248720577
29.5,inel,0.403064671174665,0.36496196234943123,0.9054675054645952
29.5,pipro,0.0,0.005780274501548477,1.0
30.0,cex,0.04280029462298812,0.06216919210770899,1.4525412185905326
30.0,abs,0.5541731246992391,0.565716557506682,1.0208300119456493
30.0,inel,0.40302658067777275,0.3663493079118904,0.9089953999952015
30.0,pipro,0.0,0.005764942473718643,1.0
30.5,cex,0.042616404030535265,0.06225215453226642,1.4607556866520661
30.5,abs,0.5543954480242544,0.5642596887617969,1.0177927881130635
30.5,inel,0.40298814794521026,0.3677385582663661,0.9125294630659047
